Title;Price;Price MSRP;Link;Image link
Tommy Hilfiger - Sleeveless Stripe Snap Shoulder Knit. Color Midnight/Multi.;$19.58;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-sleeveless-stripe-snap-shoulder-knit-midnight-multi/product/9787719/color/203646;https://m.media-amazon.com/images/I/715QURfif+L._AC_SR255,340_.jpg
Tommy Hilfiger - Linen Pants. Color Bright White.;$31.33;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-linen-pants-bright-white/product/9670877/color/43247;https://m.media-amazon.com/images/I/51GDhSTBwZL._AC_SR255,340_.jpg
London Times - Ruffle Collar Halter Maxi. Color Berry.;$59.00;no MSRP price;https://www.6pm.com/p/london-times-ruffle-collar-halter-maxi-berry/product/9721650/color/1897;https://m.media-amazon.com/images/I/71as7s8aSIL._AC_SR255,340_.jpg
Tommy Hilfiger - Short Sleeve Global Stripe Zip Polo. Color Sky Captain Multi.;$29.87;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-short-sleeve-global-stripe-zip-polo-sky-captain-multi/product/9670866/color/808971;https://m.media-amazon.com/images/I/815Xy9d1BFL._AC_SR255,340_.jpg
Tommy Hilfiger - Hampton Dot Chino Pants. Color Bright White/Sky Captain.;$38.23;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-hampton-dot-chino-pants-bright-white-sky-captain/product/9673137/color/852922;https://m.media-amazon.com/images/I/71dlSHryG0L._AC_SR255,340_.jpg
Tommy Hilfiger - Hampton Dot Chino Pants. Color Sky Captain/Bright White.;$38.23;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-hampton-dot-chino-pants-sky-captain-bright-white/product/9673137/color/858095;https://m.media-amazon.com/images/I/71-VcCK-2gL._AC_SR255,340_.jpg
Tommy Hilfiger - Linen Pants. Color Sky Captain.;$53.70;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-linen-pants-sky-captain/product/9670877/color/444168;https://m.media-amazon.com/images/I/71zdRMPsI5L._AC_SR255,340_.jpg
XSCAPE - Long Sleeve Sheer Matte Jersey w/ Embroidered Top. Color Navy/Gold.;$149.00;no MSRP price;https://www.6pm.com/p/xscape-long-sleeve-sheer-matte-jersey-w-embroidered-top-navy-gold/product/9726216/color/1417;https://m.media-amazon.com/images/I/61awl72PLYL._AC_SR255,340_.jpg
"U.S. POLO ASSN. - 9"" Mid-Rise Slim Chino Stretch Sateen Bermuda. Color Pink Peacock.";$24.20;no MSRP price;https://www.6pm.com/p/u-s-polo-assn-9-mid-rise-slim-chino-stretch-sateen-bermuda-pink-peacock/product/9791353/color/706066;https://m.media-amazon.com/images/I/715Cs+3QB9L._AC_SR255,340_.jpg
Tommy Hilfiger - Peasant Tiered Dress. Color Bright White.;$38.18;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-peasant-tiered-dress-bright-white/product/9691576/color/43247;https://m.media-amazon.com/images/I/61xWVXlVEML._AC_SR255,340_.jpg
PUMA - RTG V-Neck Tee. Color Puma Black Heather.;$17.50;no MSRP price;https://www.6pm.com/p/puma-rtg-v-neck-tee-puma-black-heather/product/9701485/color/631289;https://m.media-amazon.com/images/I/81PSzIGF3EL._AC_SR255,340_.jpg
Tommy Hilfiger - Linen Pants. Color Natural.;$49.23;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-linen-pants-natural/product/9670877/color/19;https://m.media-amazon.com/images/I/71hJlwU0ZIL._AC_SR255,340_.jpg
Tommy Hilfiger - Flutter Sleeve Dress. Color Sky Captain.;$35.70;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-flutter-sleeve-dress-sky-captain/product/9691575/color/444168;https://m.media-amazon.com/images/I/71dkfzQIGQL._AC_SR255,340_.jpg
Tommy Hilfiger - Short Sleeve V-Neck Tee Stripe. Color Virid Multi.;$14.22;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-short-sleeve-v-neck-tee-stripe-virid-multi/product/9805358/color/1021316;https://m.media-amazon.com/images/I/81ohHHtoabL._AC_SR255,340_.jpg
Tommy Hilfiger - Short Sleeve Rugby Polo. Color Sky Captain/Scarlet.;$27.08;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-short-sleeve-rugby-polo-sky-captain-scarlet/product/9673101/color/873943;https://m.media-amazon.com/images/I/7182uEUOKbL._AC_SR255,340_.jpg
Tommy Hilfiger - Short Sleeve Daisy V-Neck Tee. Color Rosette Multi.;$14.70;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-short-sleeve-daisy-v-neck-tee-rosette-multi/product/9691605/color/906910;https://m.media-amazon.com/images/I/814GOtA8urL._AC_SR255,340_.jpg
Tommy Hilfiger - Short Sleeve Daisy V-Neck Tee. Color Oasis Combo.;$14.70;no MSRP price;https://www.6pm.com/p/tommy-hilfiger-short-sleeve-daisy-v-neck-tee-oasis-combo/product/9691605/color/976673;https://m.media-amazon.com/images/I/71LKJ0KfgyL._AC_SR255,340_.jpg
