title;price;old_price;link;img
WIDE FIT PANTS BY JAVIER S. MEDINA;89.90 USD;;https://www.zara.com/us/en/wide-fit-pants-by-javier-s--medina-p07505480.html;https://static.zara.net/photos///2022/I/0/2/p/7505/480/615/32/w/563/7505480615_1_1_1.jpg?ts=1653988841450
JAVIER S. MEDINA® LEATHER SHOES;149.00 USD;;https://www.zara.com/us/en/javier-s--medina--leather-shoes-p12723020.html;https://static.zara.net/photos///2022/I/1/2/p/2723/020/010/2/w/563/2723020010_6_1_1.jpg?ts=1652370706876
JAVIER S. MEDINA® LEATHER CROSSBODY BAG;129.00 USD;;https://www.zara.com/us/en/javier-s--medina--leather-crossbody-bag-p13509020.html;https://static.zara.net/photos///2022/I/0/2/p/7505/193/251/32/w/563/7505193251_1_1_1.jpg?ts=1653988839424
HENLEY KNIT TANK TOP;17.90 USD;;https://www.zara.com/us/en/henley-knit-tank-top-p06458709.html;https://static.zara.net/photos///2022/V/0/3/p/6458/709/712/2/w/563/6458709712_6_1_1.jpg?ts=1651162595278
RUFFLED SWISS EMBROIDERY SKIRT;35.90 USD;;https://www.zara.com/us/en/ruffled-swiss-embroidery-skirt-p06110497.html;https://static.zara.net/photos///2022/I/0/3/p/6110/497/251/2/w/563/6110497251_6_1_1.jpg?ts=1653640291693
ELASTIC NECKLINE PLAIN POPLIN TOP;25.90 USD;;https://www.zara.com/us/en/elastic-neckline-plain-poplin-top-p00794700.html;https://static.zara.net/photos///2022/V/0/3/p/0794/700/250/2/w/563/0794700250_6_1_1.jpg?ts=1650614087032
CROCHET TOP;32.90 USD;;https://www.zara.com/us/en/crochet-top-p01381704.html;https://static.zara.net/photos///2022/I/0/3/p/1381/704/712/102/w/563/1381704712_1_1_1.jpg?ts=1653401942464
SWISS EMBROIDERY TOP;32.90 USD;;https://www.zara.com/us/en/swiss-embroidery-top-p06065621.html;https://static.zara.net/photos///2022/I/0/1/p/6065/621/251/103/w/563/6065621251_1_1_1.jpg?ts=1653407141742
ROUND SUNGLASSES;17.90 USD;;https://www.zara.com/us/en/round-sunglasses-p00475749.html;https://static.zara.net/photos///2022/I/0/3/p/0475/749/712/102/w/563/0475749712_1_1_1.jpg?ts=1653401941013
COMBINATION MACRAMÉ DRESS;39.90 USD;;https://www.zara.com/us/en/combination-macrame-dress-p01381703.html;https://static.zara.net/photos///2022/I/0/3/p/1381/703/052/103/w/563/1381703052_1_1_1.jpg?ts=1653401940376
GATHERED RUFFLED TOP;25.90 USD;;https://www.zara.com/us/en/gathered-ruffled-top-p01165636.html;https://static.zara.net/photos///2022/V/0/3/p/1165/636/250/2/w/563/1165636250_6_1_1.jpg?ts=1650290188200
BELTED LINEN SHORTS;32.90 USD;;https://www.zara.com/us/en/belted-linen-shorts-p01377070.html;https://static.zara.net/photos///2022/V/0/3/p/1377/070/251/102/w/563/1377070251_1_1_1.jpg?ts=1653636409143
SNAPS TEXTURED BLOUSE;29.90 USD;;https://www.zara.com/us/en/snaps-textured-blouse-p01423211.html;https://static.zara.net/photos///2022/V/0/3/p/1423/211/250/102/w/563/1423211250_1_1_1.jpg?ts=1650300497553
STRUCTURED FRAYED BLAZER;39.90 USD;;https://www.zara.com/us/en/structured-frayed-blazer-p06048420.html;https://static.zara.net/photos///2022/I/0/3/p/6048/420/712/102/w/563/6048420712_1_1_1.jpg?ts=1652357270896
“PACIFIC” SWEATSHIRT;29.90 USD;;https://www.zara.com/us/en/-pacific--sweatshirt-p00208700.html;https://static.zara.net/photos///2022/I/0/3/p/0208/700/251/2/w/563/0208700251_6_1_1.jpg?ts=1653390347778
PLUSH JACKET WITH TEXT;29.90 USD;;https://www.zara.com/us/en/plush-jacket-with-text-p03854684.html;https://static.zara.net/photos///2022/I/0/3/p/3854/684/306/2/w/563/3854684306_6_1_1.jpg?ts=1653551329634
LINEN BLEND MICRO-STRIPE SHIRT;29.90 USD;;https://www.zara.com/us/en/linen-blend-micro-stripe-shirt-p07545717.html;https://static.zara.net/photos///2022/I/0/3/p/7545/717/712/2/w/563/7545717712_6_1_1.jpg?ts=1653900237876
EMBROIDERED POPLIN TOP;25.90 USD;;https://www.zara.com/us/en/embroidered-poplin-top-p07521503.html;https://static.zara.net/photos///2022/V/0/3/p/7521/503/250/202/w/563/7521503250_1_1_1.jpg?ts=1653481408440
EMBROIDERED POPLIN DRESS;35.90 USD;;https://www.zara.com/us/en/embroidered-poplin-dress-p03798505.html;https://static.zara.net/photos///2022/V/0/3/p/3798/505/250/203/w/563/3798505250_1_1_1.jpg?ts=1653903517799
STRIPED DENIM DRESS;29.90 USD;;https://www.zara.com/us/en/striped-denim-dress-p08367502.html;https://static.zara.net/photos///2022/I/0/3/p/8367/502/406/202/w/563/8367502406_1_1_1.jpg?ts=1653481426091
BABY/ BOATER HAT;17.90 USD;;https://www.zara.com/us/en/baby--boater-hat-p07150545.html;https://static.zara.net/photos///2022/V/0/3/p/7150/545/052/202/w/563/7150545052_1_1_1.jpg?ts=1651154455061
