title;price;old_price;link;img
LINEN BLEND TROPICAL PRINT CORSET DRESS;59.90 USD;;https://www.zara.com/us/en/linen-blend-tropical-print-corset-dress-p07978911.html;https://static.zara.net/photos///2022/I/0/1/p/7978/911/330/2/w/563/7978911330_1_1_1.jpg?ts=1654516102825
TIE DYE PRINTED SHORTS;39.90 USD;;https://www.zara.com/us/en/tie-dye-printed-shorts-p08372237.html;https://static.zara.net/photos///2022/I/0/1/p/8372/237/330/2/w/563/8372237330_1_1_1.jpg?ts=1654516069944
GOLD BUTTON COTTON JACKET;59.90 USD;;https://www.zara.com/us/en/gold-button-cotton-jacket-p07825544.html;https://static.zara.net/photos///2022/I/0/1/p/7825/544/251/2/w/563/7825544251_1_1_1.jpg?ts=1654516089705
LINEN BLEND SIDE LACE INSERT PANTS;59.90 USD;;https://www.zara.com/us/en/linen-blend-side-lace-insert-pants-p07616356.html;https://static.zara.net/photos///2022/I/0/1/p/7616/356/250/2/w/563/7616356250_1_1_1.jpg?ts=1654705588628
OVERSIZED LACE INSERT LINEN SHIRT;49.90 USD;;https://www.zara.com/us/en/oversized-lace-insert-linen-shirt-p07653500.html;https://static.zara.net/photos///2022/I/0/1/p/7653/500/250/2/w/563/7653500250_1_1_1.jpg?ts=1654516074172
STRIPED PANTS;49.90 USD;;https://www.zara.com/us/en/striped-pants-p07901221.html;https://static.zara.net/photos///2022/I/0/1/p/7901/221/052/2/w/563/7901221052_1_1_1.jpg?ts=1654516094749
BUTTONED PAPERBAG SHORTS;45.90 USD;;https://www.zara.com/us/en/buttoned-paperbag-shorts-p08372246.html;https://static.zara.net/photos///2022/I/0/1/p/8372/246/505/2/w/563/8372246505_1_1_1.jpg?ts=1654516058864
LINEN BLEND SHORTS;35.90 USD;;https://www.zara.com/us/en/linen-blend-shorts-p08372243.html;https://static.zara.net/photos///2022/I/0/1/p/8372/243/807/2/w/563/8372243807_6_1_1.jpg?ts=1654163868298
BELTED SHORTS WITH DARTS;45.90 USD;;https://www.zara.com/us/en/belted-shorts-with-darts-p08372244.html;https://static.zara.net/photos///2022/I/0/1/p/8372/244/704/2/w/563/8372244704_1_1_1.jpg?ts=1654516082639
LINEN BLEND JUMPSUIT;49.90 USD;;https://www.zara.com/us/en/linen-blend-jumpsuit-p07944708.html;https://static.zara.net/photos///2022/I/0/1/p/7944/708/505/2/w/563/7944708505_1_1_1.jpg?ts=1654770079915
