title;price;old_price;link;img
Tommy Hilfiger - Color-Block Zip Polo Dress. Color Bubblegum.;$20.83;$59.50;https://www.6pm.com/p/tommy-hilfiger-color-block-zip-polo-dress-bubblegum/product/9670357/color/13677;https://m.media-amazon.com/images/I/61lFMHhFSXL._AC_SR255,340_.jpg
Bebe - Off-the-Shoulder Mesh Ruched Dress. Color Black.;$32.70;$109.00;https://www.6pm.com/p/bebe-off-the-shoulder-mesh-ruched-dress-black/product/9686180/color/3;https://m.media-amazon.com/images/I/71umxLlHPyL._AC_SR255,340_.jpg
Bebe - Off-the-Shoulder Mesh Ruched Dress. Color Champagne.;$49.05;$109.00;https://www.6pm.com/p/bebe-off-the-shoulder-mesh-ruched-dress-champagne/product/9686180/color/270;https://m.media-amazon.com/images/I/71yx33FVkVL._AC_SR255,340_.jpg
Bebe - Printed Ring Detail Cutout Maxi Dress. Color Multi.;$118.30;$169.00;https://www.6pm.com/p/bebe-printed-ring-detail-cutout-maxi-dress-multi/product/9800152/color/767;https://m.media-amazon.com/images/I/817hmqIcJML._AC_SR255,340_.jpg
Bebe - Printed Knit Dress. Color Olive/Multi.;$55.30;$79.00;https://www.6pm.com/p/bebe-printed-knit-dress-olive-multi/product/9800134/color/151969;https://m.media-amazon.com/images/I/61RFz3x-faL._AC_SR255,340_.jpg
Bebe - Printed Knit Dress. Color Brown/Multi.;$55.30;$79.00;https://www.6pm.com/p/bebe-printed-knit-dress-brown-multi/product/9800134/color/1425;https://m.media-amazon.com/images/I/71jEvjvVb5L._AC_SR255,340_.jpg
Tommy Jeans - Washed Rib Midi Dress. Color Scarlet.;$41.40;$69.00;https://www.6pm.com/p/tommy-jeans-washed-rib-midi-dress-scarlet/product/9796445/color/4774;https://m.media-amazon.com/images/I/71uLYbXQavL._AC_SR255,340_.jpg
Tommy Jeans - Washed Rib Midi Dress. Color Sky Captain.;$41.40;$69.00;https://www.6pm.com/p/tommy-jeans-washed-rib-midi-dress-sky-captain/product/9796445/color/444168;https://m.media-amazon.com/images/I/61nrmRDEwlL._AC_SR255,340_.jpg
Tommy Hilfiger - Color-Block Polo. Color Bright White.;$29.70;$49.50;https://www.6pm.com/p/tommy-hilfiger-color-block-polo-bright-white/product/9691637/color/43247;https://m.media-amazon.com/images/I/71AAd4iDzeL._AC_SR255,340_.jpg
Tommy Hilfiger - Stripe Polo Dress. Color Blue Sky Combo.;$35.70;$59.50;https://www.6pm.com/p/tommy-hilfiger-stripe-polo-dress-blue-sky-combo/product/9691592/color/976674;https://m.media-amazon.com/images/I/61htjBKHhZL._AC_SR255,340_.jpg
Tommy Hilfiger - Stripe Polo Dress. Color Iconic Multi.;$35.70;$59.50;https://www.6pm.com/p/tommy-hilfiger-stripe-polo-dress-iconic-multi/product/9691592/color/883860;https://m.media-amazon.com/images/I/61ttArfRNEL._AC_SR255,340_.jpg
Tommy Jeans - Crop Color-Block Sweater Tank. Color Sky Captain/New Leaf.;$35.40;$59.00;https://www.6pm.com/p/tommy-jeans-crop-color-block-sweater-tank-sky-captain-new-leaf/product/9796463/color/1018752;https://m.media-amazon.com/images/I/71wBUr7sU8L._AC_SR255,340_.jpg
