title;price;link;img
KNOTTED SATIN EFFECT TOP;35.90 USD;https://www.zara.com/us/en/knotted-satin-effect-top-p03067112.html;https://static.zara.net/photos///2022/I/0/1/p/3067/112/800/2/w/563/3067112800_1_1_1.jpg?ts=1653464612353
TEXTURED KNOT SHIRT;39.90 USD;https://www.zara.com/us/en/textured-knot-shirt-p03350395.html;https://static.zara.net/photos///2022/V/0/1/p/3350/395/250/12/w/563/3350395250_1_1_1.jpg?ts=1653466419096
SATIN EFFECT MINI SKIRT;39.90 USD;https://www.zara.com/us/en/satin-effect-mini-skirt-p03452802.html;https://static.zara.net/photos///2022/I/0/1/p/3452/802/800/12/w/563/3452802800_1_1_1.jpg?ts=1653466439416
SATIN EFFECT CUT OUT DRESS;59.90 USD;https://www.zara.com/us/en/satin-effect-cut-out-dress-p02662331.html;https://static.zara.net/photos///2022/V/0/1/p/2662/331/250/12/w/563/2662331250_1_1_1.jpg?ts=1653466414620
HEELED PLATFORM SHOES;119.00 USD;https://www.zara.com/us/en/heeled-platform-shoes-p11275910.html;https://static.zara.net/photos///2022/V/1/1/p/1275/910/040/2/w/563/1275910040_1_1_1.jpg?ts=1651579389259
HEELED PLATFORM SHOES;119.00 USD;https://www.zara.com/us/en/heeled-platform-shoes-p11276910.html;https://static.zara.net/photos///2022/I/1/1/p/1276/910/030/2/w/563/1276910030_1_1_1.jpg?ts=1651568779543
VOLUMINOUS PRINTED DRESS;79.90 USD;https://www.zara.com/us/en/voluminous-printed-dress-p02740232.html;https://static.zara.net/photos///2022/V/0/1/p/2740/232/330/2/w/563/2740232330_1_1_1.jpg?ts=1653318803761
ZW THE DREED FLARE RHINESTONE JEANS;69.90 USD;https://www.zara.com/us/en/zw-the-dreed-flare-rhinestone-jeans-p02553059.html;https://static.zara.net/photos///2022/I/0/1/p/2553/059/400/2/w/563/2553059400_2_1_1.jpg?ts=1653318728765
POCKET DENIM OVERSHIRT;49.90 USD;https://www.zara.com/us/en/pocket-denim-overshirt-p04877241.html;https://static.zara.net/photos///2022/I/0/1/p/4877/241/712/2/w/563/4877241712_2_6_1.jpg?ts=1653496363516
HIGH-WAISTED SHORTS;45.90 USD;https://www.zara.com/us/en/high-waisted-shorts-p02731053.html;https://static.zara.net/photos///2022/I/0/1/p/2731/053/800/2/w/563/2731053800_1_1_1.jpg?ts=1653318744511
DRAPED CROP TOP;45.90 USD;https://www.zara.com/us/en/draped-crop-top-p02143244.html;https://static.zara.net/photos///2022/I/0/1/p/2143/244/800/2/w/563/2143244800_2_1_1.jpg?ts=1653318729386
CHUNKY WEDGE SANDALS;49.90 USD;https://www.zara.com/us/en/chunky-wedge-sandals-p13312010.html;https://static.zara.net/photos///2022/I/1/1/p/3312/010/040/2/w/563/3312010040_1_1_1.jpg?ts=1652434012867
CHUNKY SATIN STRAP WEDGE SANDALS;89.90 USD;https://www.zara.com/us/en/chunky-satin-strap-wedge-sandals-p11315010.html;https://static.zara.net/photos///2022/I/1/1/p/1315/010/020/2/w/563/1315010020_1_1_1.jpg?ts=1652952502211
CHUNKY SATIN PLATFORM SANDALS;89.90 USD;https://www.zara.com/us/en/chunky-satin-platform-sandals-p11307010.html;https://static.zara.net/photos///2022/I/1/1/p/1307/011/060/2/w/563/1307011060_1_1_1.jpg?ts=1652952504560
SCARF PRINTED SHIRT;49.90 USD;https://www.zara.com/us/en/scarf-printed-shirt-p02510258.html;https://static.zara.net/photos///2022/V/0/1/p/2510/258/330/2/w/563/2510258330_1_1_1.jpg?ts=1653378883285
ANIMAL PRINT PALAZZO PANTS;49.90 USD;https://www.zara.com/us/en/animal-print-palazzo-pants-p07648638.html;https://static.zara.net/photos///2022/V/0/1/p/7648/638/085/2/w/563/7648638085_1_1_1.jpg?ts=1653378901458
